,name,salary_from,salary_to,salary_currency,area_name,published_at
264,Инженер,50000.0,50000.0,RUR,Уфа,2022-12-23T10:15:49+0300
265,Механик гаража,40000.0,,RUR,Георгиевск,2022-12-23T10:33:08+0300
266,SQL аналитик,100000.0,,RUR,Ростов-на-Дону,2022-12-23T10:06:40+0300
267,Главный механик,75000.0,,RUR,Северодвинск,2022-12-23T09:50:20+0300
268,Консультант (оптимизация бизнес-процессов),,,,Москва,2022-12-23T10:51:15+0300
269,Бизнес-аналитик,120000.0,,RUR,Москва,2022-12-23T11:39:46+0300
270,Руководитель отдела маркетинга (аналитик),10000000.0,14000000.0,UZS,Ташкент,2022-12-23T08:19:09+0300
271,Аналитик,32000.0,32000.0,RUR,Омск,2022-12-23T07:02:18+0300
272,Системный администратор,250000.0,,RUR,Москва,2022-12-23T11:47:57+0300
273,Бизнес-аналитик,,,,Москва,2022-12-23T09:48:12+0300
274,Ведущий эксперт сектора защиты информации отдела безопасности (временная должность),,,,Липецк,2022-12-23T11:10:29+0300
275,Помощник системного администратора в Yandex Cloud,54000.0,70200.0,RUR,Владимир,2022-12-23T10:24:27+0300
276,.net разработчик,,,,Москва,2022-12-23T07:38:37+0300
277,Ведущий системный администратор,70000.0,,RUR,Барнаул,2022-12-23T07:21:04+0300
278,Эксперт,135000.0,,RUR,Нижний Новгород,2022-12-23T09:24:08+0300
279,Менеджер по продукту / категорийный менеджер,150000.0,,RUR,Москва,2022-12-23T10:28:52+0300
280,Системный аналитик,100000.0,,RUR,Москва,2022-12-23T10:30:52+0300
281,Middle Frontend Developer (удаленно),150000.0,230000.0,RUR,Ростов-на-Дону,2022-12-23T10:39:53+0300
282,Начинающий выездной IT-cпециалист (IT-компания ЛЕММА),54500.0,100000.0,RUR,Санкт-Петербург,2022-12-23T09:11:58+0300
283,Главный специалист отдела технического сопровождения в городе Жезказган,200000.0,200000.0,KZT,Жезказган,2022-12-23T07:21:20+0300
284,Продакт-менеджер (менеджер по продукту),450000.0,600000.0,KZT,Алматы,2022-12-23T06:26:19+0300
285,Руководитель технических проектов клиентского опыта в Маркет,,,,Москва,2022-12-23T11:41:52+0300
286,Ночной специалист службы поддержки в Yandex Cloud,64800.0,81000.0,RUR,Самара,2022-12-23T10:24:29+0300
287,Product Owner,100000.0,100000.0,RUR,Москва,2022-12-23T10:34:43+0300
288,Начинающий выездной IT-cпециалист (IT-компания ЛЕММА),64000.0,150000.0,RUR,Москва,2022-12-23T09:11:54+0300
289,Инженер технической поддержки,,,,Москва,2022-12-23T10:28:02+0300
290,Product Manager (Монетизация),,,,Москва,2022-12-23T11:22:50+0300
291,Тестировщик Middle (web),,,,Томск,2022-12-23T07:07:03+0300
292,Системный администратор,,130000.0,RUR,Москва,2022-12-23T11:32:34+0300
293,Оператор станков с ЧПУ,1400.0,,BYR,Минск,2022-12-23T10:04:37+0300
294,"Инженер-дизайнер (входные и межкомнатные двери, удаленная работа)",,,,Санкт-Петербург,2022-12-23T11:39:21+0300
295,Заведующий мастерской,,352000.0,KZT,Алматы,2022-12-23T07:47:03+0300
296,Монтажник РЭА и приборов,70000.0,,RUR,Москва,2022-12-23T11:09:06+0300
297,Старший системный администратор,100000.0,,RUR,Санкт-Петербург,2022-12-23T11:12:08+0300
298,"Руководитель проекта ""Честный знак""",150000.0,,RUR,Москва,2022-12-23T10:07:26+0300
